购买时间：2025-04-26 00:22:11 | 门卡名称: 模式二成功购买！ | 理想价格: 520 | 购买价格: 518 | 溢价: -0.38% 
购买时间：2025-04-26 00:22:14 | 门卡名称: 模式二成功购买！ | 理想价格: 520 | 购买价格: 518 | 溢价: -0.38% 
购买时间：2025-04-26 00:36:03 | 门卡名称: 模式二成功购买！ | 理想价格: 520 | 购买价格: 468 | 溢价: -10.00% 
购买时间：2025-04-26 00:45:29 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 00:45:31 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 00:45:36 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 00:45:38 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 00:50:00 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 00:50:01 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 00:50:03 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 00:50:04 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 00:52:22 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 00:52:23 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 00:52:24 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 01:00:29 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 01:00:30 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 01:01:28 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 01:01:29 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 01:02:14 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
购买时间：2025-04-26 01:02:15 | 门卡名称: 模式二成功购买！ | 理想价格: 620 | 购买价格: 618 | 溢价: -0.32% 
